,name,rating,number_of_ratings,category,subcategory,brand,price,discount,sold_by,best_seller_rank,best_seller_category,image
52,Galaxy Buds 3 Pro Silver,4.6,130 Ratings,Electronics & Mobiles,Headphones & Earphones,Samsung,5949.95,,K&M The Future Makers,Best Seller#19,Headphones & Earphones,https://f.nooncdn.com/p/pnsku/N70090067V/45/_/1720175327/756e49ea-b408-4dd7-b4e2-a013f1b09796.jpg?width=800
53,Galaxy A36 5G Dual SIM Awesome Black 8GB RAM 128GB - Middle East Version,4.3,398 Ratings,Electronics & Mobiles,Smartphones,Samsung,15299.00,13% Off,noon,,,https://f.nooncdn.com/p/pnsku/N70158918V/45/_/1744647854/55267184-aee7-425a-a69f-2b43b6f54e60.jpg?width=800
54,Galaxy A06 4G Dual SIM Gold 4GB RAM 128GB - Middle East Version,4.4,2974 Ratings,Electronics & Mobiles,Smartphones,Samsung,5199.00,18% Off,noon,,,https://f.nooncdn.com/p/pnsku/N70102388V/45/_/1727463602/c3f915eb-ea6d-49be-8f13-7efe32932450.jpg?width=800
55,Galaxy Tab S10 FE Gray 8GB RAM 128GB 5G - Middle East Version,4.2,22 Ratings,Electronics & Mobiles,Tablets,Samsung,27450.00,,Original Stores,,,https://f.nooncdn.com/p/pnsku/N70164765V/45/_/1744798150/45924f97-f26e-4cce-a073-b12cabf84e78.jpg?width=800
56,"Galaxy Watch 8 44mm (Middle East Version) GPS Smartwatch, Everyday Health Coach, Cushion Design, Dynamic Lug System, 3nm Processor, Sleep Coaching, Running Coach Silver",4.7,27 Ratings,Electronics & Mobiles,Smartwatches,Samsung,17855.45,10% Off,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70189410V/45/_/1751976783/507127bd-ce9b-4956-a521-2d85c96852de.jpg?width=800
57,Samsung 55 Inch 4K UHD Smart LED TV with Built-in Receiver - UA55DUE800UXEG UA55DUE800UXEG Black,4.7,19 Ratings,Electronics & Mobiles,Televisions,Samsung,21949.00,,Future Tech.,,,https://f.nooncdn.com/p/pnsku/N70126234V/45/_/1730699155/a407af78-0e5a-4eb2-abc0-aac48c92562a.jpg?width=800
58,Galaxy Z Fold 7 Dual SIM Jet Black 12GB 256GB 5G - Middle East Version,4.7,59 Ratings,Electronics & Mobiles,Smartphones,Samsung,82227.05,13% Off,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70187008V/45/_/1752051286/4f1ea43a-f00d-4328-91e7-a0427ca0a5c6.jpg?width=800
59,Galaxy Watch 6 Classic 47 Mm GPS Smartwatch Graphite/Black,4.5,1340 Ratings,Electronics & Mobiles,Smartwatches,Samsung,7944.00,64% Off,Maleh Group,Best Seller #42,Smartwatches,https://f.nooncdn.com/p/v1690306225/N53422411A_1.jpg?width=800
60,Galaxy S25 Ultra AI Dual SIM Titanium Black 12GB RAM 512GB 5G - Middle East Version,4.5,3649 Ratings,Electronics & Mobiles,Smartphones,Samsung,64041.20,7% Off,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70140495V/45/_/1737383884/faaadcfe-2641-4013-94cb-ffb35f94eae1.jpg?width=800
61,Galaxy Tab A9 Navy 4GB RAM 64GB LTE - Middle East Version,4.5,8785 Ratings,Electronics & Mobiles,Tablets,Samsung,8299.00,14% Off,iOS,,,https://f.nooncdn.com/p/pnsku/N70011731V/45/_/1696833890/fc4ca746-d875-4dbc-aa09-b971988acc0a.jpg?width=800
62,Galaxy Tab A9 Graphite 4GB RAM 64GB LTE - Middle East Version,4.5,8785 Ratings,Electronics & Mobiles,Tablets,Samsung,7090.00,30% Off,Abnbatota,Best Seller#12,Tablets,https://f.nooncdn.com/p/pnsku/N70011636V/45/_/1696833889/4ec6ab83-7728-478b-bc2f-37697c057c39.jpg?width=800
63,Galaxy A36 5G Dual SIM Awesome Lime 8GB RAM 256GB - Middle East Version,4.4,500 Ratings,Electronics & Mobiles,Smartphones,Samsung,17249.00,10% Off,noon,,,https://f.nooncdn.com/p/pnsku/N70158919V/45/_/1744647792/fe4c68e7-12d0-4a25-8073-931a0a0515ce.jpg?width=800
64,Galaxy A56 5G Dual SIM Awesome Pink 8GB RAM 256GB - Middle East Version,4.5,4212 Ratings,Electronics & Mobiles,Smartphones,Samsung,22799.00,,Kanawat for Trading and Distribution,,,https://f.nooncdn.com/p/pnsku/N70158927V/45/_/1744647813/28ae00a8-4efa-439f-93b9-3cde9f7bb708.jpg?width=800
65,Galaxy Buds 3 Silver with Galaxy AI Powered Real-time Interpreter | 24-bit Hi-Fi Audio | Up to 36H Battery | IP57 Silver,4.4,1397 Ratings,Electronics & Mobiles,Headphones & Earphones,Samsung,5764.85,,best offer,,,https://f.nooncdn.com/p/pnsku/N70090068V/45/_/1720175417/7cc76e45-1f41-4196-9a5c-91509dc672fc.jpg?width=800
66,Galaxy Z Fold 7 Dual SIM Silver Shadow 12GB 512GB 5G - Middle East Version,4.7,59 Ratings,Electronics & Mobiles,Smartphones,Samsung,86425.60,9% Off,Simple,,,https://f.nooncdn.com/p/pnsku/N70187013V/45/_/1752051276/fdef146e-1170-4815-8c42-9efa83bfbb4e.jpg?width=800
67,"Refrigerator Top Mounted Freezer No Frost, 419 - RT40DG3110QVMR Silver",4.3,27 Ratings,Home & Kitchen,Refrigerators,Samsung,26775.00,18% Off,More Electronics,Best Seller#28,Refrigerators,https://f.nooncdn.com/p/pnsku/N70102405V/45/_/1730118410/ffe80b78-7012-4466-85a2-395674bf72a3.jpg?width=800
68,Galaxy A56 5G Dual SIM Awesome LightGray 12GB RAM 256GB - Middle East Version,5.0,6 Ratings,Electronics & Mobiles,Smartphones,Samsung,28000.00,,Abo Ali Stores,,,https://f.nooncdn.com/p/pnsku/N70160456V/45/_/1744647788/0cdd99d8-7844-49fe-9515-af244ffb6937.jpg?width=800
69,Galaxy A16 4G Dual SIM Gray 4GB RAM 128GB - Middle East Version,4.4,7540 Ratings,Electronics & Mobiles,Smartphones,Samsung,7299.00,8% Off,noon,Best Seller#36,Smartphones,https://f.nooncdn.com/p/pnsku/N70126886V/45/_/1730878387/bfe6e1e0-f17c-4ff0-b7c2-9efd0b823361.jpg?width=800
70,Galaxy M34 Dual SIM Dark Blue 8GB RAM 128GB 5G - Middle East Version,4.6,470 Ratings,Electronics & Mobiles,Smartphones,Samsung,10999.00,,Algomrok,,,https://f.nooncdn.com/p/pnsku/N70042026V/45/_/1706592674/6e964bd7-9898-47a3-977e-2d24c6332fa8.jpg?width=800
71,"SAMSUNG 24-Inch Essential Monitor S3, IPS, Full HD Monitor, Refresh Rate 100Hz & Response Time 5ms(GTG) black",,,Electronics & Mobiles,Monitors,Samsung,5369.00,,noon,,,https://f.nooncdn.com/p/pnsku/N70202881V/45/_/1755603255/ccb4da7c-8a50-4395-becc-344efd62c310.jpg?width=800
72,Galaxy A16 Dual SIM Black 4GB RAM 128GB  4G - Middle East Version,4.4,7540 Ratings,Electronics & Mobiles,Smartphones,Samsung,7299.00,6% Off,noon,Best Seller#18,Smartphones,https://f.nooncdn.com/p/pnsku/N70126887V/45/_/1730878388/48c0de60-27d8-4cd4-a4a3-644f32509017.jpg?width=800
73,EHS61ASFWE In-ear Wired Earphones with Mic White,3.5,1063 Ratings,Electronics & Mobiles,Headphones & Earphones,Samsung,54.00,60% Off,Egyptian German,,,https://f.nooncdn.com/p/v1580471074/N13379137A_1.jpg?width=800
74,"990 EVO NVMe M.2 SSD 2TB, PCIe 4.0 x4 / PCIe 5.0 x2, NVMe 2.0 (2280) Upto 5,000MBs Read/4,200MBs Write, Internal SSD For Gaming & Graphics Editing - MZ-V9E2T0BW 2 TB",5.0,3 Ratings,Electronics & Mobiles,Internal Solid State Drives,Samsung,8199.00,8% Off,Dokan Tech,,,https://f.nooncdn.com/p/pnsku/N70080629V/45/_/1718095509/3c5992dd-b08d-407a-9048-5c88cdd31998.jpg?width=800
75,Galaxy A16 4G Dual SIM Black 8GB RAM 256GB - Middle East Version,4.4,7540 Ratings,Electronics & Mobiles,Smartphones,Samsung,9999.00,,Kanawat for Trading and Distribution,Best Seller#3,Smartphones,https://f.nooncdn.com/p/pnsku/N70126890V/45/_/1730878376/a7c4c18b-76e2-4d96-8836-199817460d52.jpg?width=800
